[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2024-06-06 03:22:05] Saving 910 values; 37335 bytes
[2024-06-06 03:23:05] Saving 910 values; 37335 bytes
[2024-06-06 03:24:05] Saving 910 values; 37335 bytes
[2024-06-06 03:25:05] Saving 910 values; 37335 bytes
[2024-06-06 03:26:05] Saving 910 values; 37335 bytes
[2024-06-06 03:27:05] Saving 910 values; 37335 bytes
[2024-06-06 03:28:05] Saving 910 values; 37335 bytes
[2024-06-06 03:29:05] Saving 910 values; 37335 bytes
[2024-06-06 03:30:05] Saving 910 values; 37335 bytes
[2024-06-06 03:31:05] Saving 910 values; 37335 bytes
[2024-06-06 03:32:05] Saving 910 values; 37335 bytes
[2024-06-06 03:33:05] Saving 910 values; 37335 bytes
[2024-06-06 03:34:05] Saving 910 values; 37335 bytes
[2024-06-06 03:35:05] Saving 910 values; 37335 bytes
[2024-06-06 03:36:05] Saving 910 values; 37335 bytes
[2024-06-06 03:37:05] Saving 910 values; 37335 bytes
[2024-06-06 03:38:05] Saving 910 values; 37335 bytes
[2024-06-06 03:39:05] Saving 910 values; 37335 bytes
[2024-06-06 03:40:05] Saving 910 values; 37335 bytes
[2024-06-06 03:41:05] Saving 910 values; 37335 bytes
[2024-06-06 03:42:05] Saving 910 values; 37335 bytes
[2024-06-06 03:43:05] Saving 910 values; 37335 bytes
[2024-06-06 03:44:05] Saving 910 values; 37335 bytes
[2024-06-06 03:45:05] Saving 910 values; 37335 bytes
[2024-06-06 03:46:05] Saving 910 values; 37335 bytes
[2024-06-06 03:47:05] Saving 910 values; 37335 bytes
[2024-06-06 03:48:05] Saving 910 values; 37335 bytes
[2024-06-06 03:49:05] Saving 910 values; 37335 bytes
[2024-06-06 03:50:05] Saving 910 values; 37335 bytes
[2024-06-06 03:51:05] Saving 910 values; 37335 bytes
[2024-06-06 03:52:05] Saving 910 values; 37335 bytes
[2024-06-06 03:53:05] Saving 910 values; 37335 bytes
[2024-06-06 03:54:05] Saving 910 values; 37335 bytes
[2024-06-06 03:55:05] Saving 910 values; 37335 bytes
[2024-06-06 03:56:05] Saving 910 values; 37335 bytes
[2024-06-06 03:57:05] Saving 910 values; 37335 bytes
[2024-06-06 03:58:05] Saving 910 values; 37335 bytes
[2024-06-06 03:59:05] Saving 910 values; 37335 bytes
[2024-06-06 04:00:05] Saving 910 values; 37335 bytes
[2024-06-06 04:01:05] Saving 910 values; 37335 bytes
[2024-06-06 04:02:05] Saving 910 values; 37335 bytes
[2024-06-06 04:03:05] Saving 910 values; 37335 bytes
[2024-06-06 04:04:05] Saving 910 values; 37335 bytes
[2024-06-06 04:05:05] Saving 910 values; 37335 bytes
[2024-06-06 04:06:05] Saving 910 values; 37335 bytes
[2024-06-06 04:07:05] Saving 910 values; 37335 bytes
[2024-06-06 04:08:05] Saving 910 values; 37335 bytes
[2024-06-06 04:09:05] Saving 910 values; 37335 bytes
[2024-06-06 04:10:05] Saving 910 values; 37335 bytes
[2024-06-06 04:11:05] Saving 910 values; 37335 bytes
[2024-06-06 04:12:05] Saving 910 values; 37335 bytes
[2024-06-06 04:13:05] Saving 910 values; 37335 bytes
[2024-06-06 04:14:05] Saving 910 values; 37335 bytes
[2024-06-06 04:15:05] Saving 910 values; 37335 bytes
[2024-06-06 04:16:05] Saving 910 values; 37335 bytes
[2024-06-06 04:17:05] Saving 910 values; 37335 bytes
[2024-06-06 04:18:05] Saving 910 values; 37335 bytes
[2024-06-06 04:19:05] Saving 910 values; 37335 bytes
[2024-06-06 04:20:05] Saving 910 values; 37335 bytes
[2024-06-06 04:21:05] Saving 910 values; 37335 bytes
[2024-06-06 04:22:05] Saving 910 values; 37335 bytes
[2024-06-06 04:23:05] Saving 910 values; 37335 bytes
[2024-06-06 04:24:05] Saving 910 values; 37335 bytes
[2024-06-06 04:25:05] Saving 910 values; 37335 bytes
[2024-06-06 04:26:05] Saving 910 values; 37335 bytes
[2024-06-06 04:27:05] Saving 910 values; 37335 bytes
[2024-06-06 04:28:05] Saving 910 values; 37335 bytes
[2024-06-06 04:29:05] Saving 910 values; 37335 bytes
[2024-06-06 04:30:05] Saving 910 values; 37335 bytes
[2024-06-06 04:31:05] Saving 910 values; 37335 bytes
[2024-06-06 04:32:05] Saving 910 values; 37335 bytes
[2024-06-06 04:33:05] Saving 910 values; 37335 bytes
[2024-06-06 04:34:05] Saving 910 values; 37335 bytes
[2024-06-06 04:35:05] Saving 910 values; 37335 bytes
[2024-06-06 04:36:05] Saving 910 values; 37335 bytes
[2024-06-06 04:37:05] Saving 910 values; 37335 bytes
[2024-06-06 04:38:05] Saving 910 values; 37335 bytes
[2024-06-06 04:39:05] Saving 910 values; 37335 bytes
[2024-06-06 04:40:05] Saving 910 values; 37335 bytes
[2024-06-06 04:41:05] Saving 910 values; 37335 bytes
[2024-06-06 04:42:05] Saving 910 values; 37335 bytes
[2024-06-06 04:43:05] Saving 910 values; 37335 bytes
[2024-06-06 04:44:05] Saving 910 values; 37335 bytes
[2024-06-06 04:45:05] Saving 910 values; 37335 bytes
[2024-06-06 04:46:05] Saving 910 values; 37335 bytes
[2024-06-06 04:47:05] Saving 910 values; 37335 bytes
[2024-06-06 04:48:05] Saving 910 values; 37335 bytes
[2024-06-06 04:49:05] Saving 910 values; 37335 bytes
[2024-06-06 04:50:05] Saving 910 values; 37335 bytes
[2024-06-06 04:51:05] Saving 910 values; 37335 bytes
[2024-06-06 04:52:05] Saving 910 values; 37335 bytes
[2024-06-06 04:53:05] Saving 910 values; 37335 bytes
[2024-06-06 04:54:05] Saving 910 values; 37335 bytes
[2024-06-06 04:55:05] Saving 910 values; 37335 bytes
[2024-06-06 04:56:05] Saving 910 values; 37335 bytes
[2024-06-06 04:57:05] Saving 910 values; 37335 bytes
[2024-06-06 04:58:05] Saving 910 values; 37335 bytes
[2024-06-06 04:59:05] Saving 910 values; 37335 bytes
[2024-06-06 05:00:05] Saving 910 values; 37335 bytes
[2024-06-06 05:01:05] Saving 910 values; 37335 bytes
[2024-06-06 05:02:05] Saving 910 values; 37335 bytes
[2024-06-06 05:03:05] Saving 910 values; 37335 bytes
[2024-06-06 05:04:05] Saving 910 values; 37335 bytes
[2024-06-06 05:05:05] Saving 910 values; 37335 bytes
[2024-06-06 05:06:05] Saving 910 values; 37335 bytes
[2024-06-06 05:07:05] Saving 910 values; 37335 bytes
[2024-06-06 05:08:05] Saving 910 values; 37335 bytes
[2024-06-06 05:09:05] Saving 910 values; 37335 bytes
[2024-06-06 05:10:05] Saving 910 values; 37335 bytes
[2024-06-06 05:11:05] Saving 910 values; 37335 bytes
